Video	t_beg_sound	t_end_noun	t_end_pp	t_end_sound	sentence
female61-anger-left.avi	0.29	0.65	1.01	1.47	Albert a regardé la télé
female62-anger-left.avi	0.36	0.77	1.14	1.705	Sylvie a frappé à la porte
female63-anger-left.avi	0.817	1.22	1.51	2.5	Laurent a été à la montagne avec elle
female64-anger-left.avi	0.34	0.69	1.1	1.76	Charles a regardé mes messages
female6-stat-left.avi	0.38	0.74	1.28	1.78	Marion a organisé une fête
female7-stat-left.avi	0.5	0.86	1.23	1.76	Nadine a commandé de la viande
female8-stat-left.avi	0.38	0.7	0.93	1.16	Monique a pris l'avion
female9-stat-left.avi	0.25	0.8	1.2	1.56	Virginie a adopté un chat
male10-stat-left.avi	0.765	1.18	1.475	1.91	Tristan a écrit un roman
male11-stat-left.avi	2.17	2.54	3.2	3.85	Alexi a participé au championnat
male12-stat-left.avi	1.49	1.82	2.23	2.89	Margo a nettoyé les toilettes
male13-stat-left.avi	1.14	1.47	1.86	2.45	Roxane a conduit la voiture
male14-stat-left.avi	0.995	1.39	1.83	2.28	Bastien a prêté le vélo
male15-stat-left.avi	1.31	1.65	2.08	2.4	David a préparé du riz
male16-stat-left.avi	1.145	1.38	1.76	2.375	Hugo a vendu la guitare
male17-incr-right.avi	1.155	1.57	2	2.645	Adeline a porté une robe
male18-happ-left.avi	0.78	1.06	1.24	1.99	Corine a joué au théatre
male19-incr-right.avi	1.35	1.69	1.87	2.22	Christine a fait un gâteau
male1-stat-left.avi	0.83	1.18	1.54	2.095	Adeline a porté une robe
male20-sad-right.avi	1.8	2.05	2.36	2.85	Marie a quitté la ville
male21-incr-right.avi	1.32	1.72	2.27	2.85	Georgie a regardé un film
male22-incr-right.avi	0.87	1.08	1.63	2.29	Claire a repassé une chemise
male23-happ-left.avi	0.48	0.82	1.14	1.83	Maurice a changé son travail
male24-incr-right.avi	0.93	1.33	1.68	2.18	Chantal a acheté une maison
male25-happ-left.avi	1.68	1.99	2.3	2.98	Pascal a appelé son cousin
male26-incr-right.avi	0.8	1.195	1.44	1.91	Monique a pris l'avion
male27-happ-left.avi	0.945	1.23	1.43	1.98	Carole était à la gare
male28incr-right.avi	0.41	0.79	1.105	1.54	Virginie a adopté un chat
male29-happ-left.avi	0.82	1.13	1.52	2.26	Amélie m'a offert la guitare
male2-stat-left.avi	0.92	1.18	1.68	2.26	Claire a repassé une chemise
male30-incr-right.avi	1.01	1.34	1.75	2.22	Marion a organisé une fête
male31-incr-right.avi	0.75	1.41	2.04	2.62	(abon) Alexia a participé au championnat
male32-fear-right.avi	1.46	1.7	2	2.56	Lola est monté sur le toit
male33-sad-right.avi	0.86	1.27	1.73	2.32	Bastian s'en est allé de la maison
male34-incr-right.avi	0.41	0.77	1.34	1.98	Margo a nettoyé les toilettes
male35-fear-right.avi	1.12	1.52	1.9	2.73	Cécile est sortie avec un homme brun
male36-incr-right.avi	0.81	1.24	1.49	1.83	Tristan a écrit un roman
male37-happ-left.avi	0.8	1.1	1.51	2.06	Annie m'a montré les photos
male38-incr-right.avi	0.7	1.1	1.48	1.98	Roxane a conduit la voiture
male39-sad-right.avi	0.58	1	1.55	2.095	Daniel m'a annoncé les résultats
male3-stat-left.avi	1.39	1.76	1.95	2.38	Christine a fait un gâteau
male40-fear-right.avi	0.49	0.86	1.08	1.6	Floriane a joué au tennis
male41-incr-right.avi	0.73	1	1.27	1.73	Bastien a prêté son vélo
male42-fear-right.avi	0.53	0.76	1.078	1.75	Audrey a passé les examens
male43-incr-right.avi	1.01	1.38	1.6	2.02	Monique a pris l'avion
male44-fear-right.avi	0.27	0.6	1	1.47	Cédric m'a demandé un rendez-vous
male45-sad-right.avi	1.16	1.52	1.9	2.58	Céline a obtenu un emploi en Asie
male46-fear-right.avi	0.42	0.69	1.2	1.8	Nadine a consulté un avocat
male47-incr-right.avi	0.55	0.89	1.38	1.76	David a préparé du riz
male48-sad-right.avi	0.91	1.34	1.69	2.51	Denise a parlé à son petit ami
male49-happ-left.avi	0.78	0.96	1.47	2.06	Eve a téléphoné à John
male4-stat-left.avi	1.34	1.77	2.18	2.74	Georgie a regardé un film
male50-fear-right.avi	1.07	1.38	1.8	2.72	Alban a ramené un chien à la maison
male51-incr-right.avi	0.72	1.07	1.51	2.12	Hugo a vendu sa guitare
male52-fear-right.avi	1.15	1.41	1.6	2.17	Robert a fait un pari
male53-sad-right.avi	0.82	1.32	1.8	2.41	Vincent a anticipé sa rentrée
male54-sad-right.avi	1.02	1.35	1.55	1.96	Ambre a lu la lettre
male55-happ-left.avi	1.01	1.24	1.46	2.2	Alain est venu à la fête
male56-sad-right.avi	0.665	1.06	1.51	2.16	Jeanne a accepté sa décision
male58-anger-left.avi	0.54	0.75	1.02	1.85	Serge a pris mon téléphone
male59-anger-left.avi	0.66	1	1.2	1.6	Marion était au bar
male5-stat-left.avi	0.87	1.31	1.67	2.18	Chantal a acheté une maison
male60-anger-left.avi	0.38	0.75	0.98	1.44	Gustave a été au stade
male61-anger-left.avi	0.66	1	1.54	2.08	Albert a regardé la télé
male62-anger-left.avi	0.36	0.65	0.95	1.5	Sylvie a frappé à la porte
male63-anger-left.avi	0.31	0.66	0.83	1.93	Laurent a été à la montagne avec elle
male64-anger-left.avi	0.5	0.81	1.18	1.87	Sophie a parlé avec le patron
male65-anger-left.avi	0.51	0.8	1.15	1.86	Charles a regardé mes messages
male6-stat-left.avi	2.16	2.7	3.23	3.75	Marion a organisé la fête
male7-stat-left.avi	0.91	1.33	1.72	2.3	Nadine a commandé la viande
male8-stat-left.avi	1.02	1.38	1.63	2.02	Monique a pris l'avion
male9-stat-left.avi	0.86	1.33	1.7	2.07	Virginie a adopté un chat
